資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450672,8450670,TXFE7,128,9903,2,1870,591,896
8450684,8450672,TXFE7,128,9903,1,1871,592,897
8450684,8450673,TXFE7,128,9903,1,1872,593,898
8450684,8450675,TXFE7,128,9903,1,1873,594,899
8450684,8450676,TXFE7,128,9903,1,1874,595,900
8450684,8450679,TXFE7,128,9904,1,1875,596,901
8450684,8450679,TXFE7,128,9904,1,1876,597,902
8450684,8450680,TXFE7,128,9904,1,1877,598,903
8450684,8450680,TXFE7,128,9904,1,1878,599,904
8450684,8450683,TXFE7,128,9902,10,1888,603,905
8450684,8450683,TXFE7,128,9902,1,1889,604,906
8450684,8450683,TXFE7,128,9903,1,1890,605,907
8450684,8450683,TXFE7,128,9904,1,1891,606,908
8450697,8450690,TXFE7,128,9904,2,1893,607,910
8450697,8450691,TXFE7,128,9903,2,1895,608,911
8450697,8450696,TXFE7,128,9903,1,1896,609,912
8450709,8450698,TXFE7,128,9904,2,1898,610,914
8450709,8450698,TXFE7,128,9903,1,1899,611,915
8450734,8450722,TXFE7,128,9903,1,1900,612,916
8450747,8450734,TXFE7,128,9903,9,1909,614,917
8450747,8450739,TXFE7,128,9903,1,1910,615,918
8450747,8450741,TXFE7,128,9902,2,1912,616,919
8450747,8450746,TXFE7,128,9903,1,1913,617,920
8450759,8450749,TXFE7,128,9902,1,1914,618,921
8450759,8450751,TXFE7,128,9902,1,1915,619,922
8450759,8450752,TXFE7,128,9903,5,1920,620,925
8450759,8450756,TXFE7,128,9902,1,1921,621,926
8450772,8450759,TXFE7,128,9903,6,1927,624,927
8450772,8450765,TXFE7,128,9903,1,1928,625,928
8450784,8450782,TXFE7,128,9902,1,1929,626,929
8450784,8450784,TXFE7,128,9902,1,1930,627,930
8450797,8450794,TXFE7,128,9903,2,1932,628,932
8450797,8450797,TXFE7,128,9902,1,1933,629,933
8450809,8450797,TXFE7,128,9903,1,1934,630,934
8450809,8450798,TXFE7,128,9903,4,1938,631,936
8450809,8450803,TXFE7,129,9902,2,1942,634,937
8450809,8450803,TXFE7,129,9901,2,1942,634,937
8450822,8450817,TXFE7,129,9902,4,1950,635,941
8450822,8450817,TXFE7,129,9903,4,1950,635,941
8450822,8450817,TXFE7,128,9901,1,1951,636,942
8450834,8450828,TXFE7,128,9901,14,1965,641,943
